Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,3398.75,0.0,0.0,62.02144,6816.9756,0.0,0.020525208,0.0,0.0,Nov,1,2,1,6,Returning_Visitor,False,False
10.651815,0.0,5.0,2549.375,9.0,6108.986,0.0,0.017975202,0.0,0.0,June,3,2,6,14,Returning_Visitor,True,True
1.0,3279.7676,21.735126,2538.353,113.948135,2990.8909,0.0,0.008536413,50.219563,1.0,Nov,2,10,7,2,Other,True,False
2.0,121.56666,7.9204106,0.0,88.30869,1791.7849,0.09472792,0.016302872,0.0,0.0,Jul,3,2,1,1,Other,False,False
8.0,3372.0322,4.0,2529.274,1.0,10660.528,0.0,0.011235247,0.0,0.0,Oct,2,7,2,1,Other,True,False
11.077252,3398.008,6.0418305,2549.375,331.7929,1153.6935,0.0,0.0,0.0,0.0,May,3,4,8,1,Returning_Visitor,True,False
8.0,102.76402,5.907082,2549.375,251.90793,15.948505,0.0,0.0005646829,0.0,0.0,Jul,7,1,9,2,Returning_Visitor,False,False
10.02394,0.0,0.0,0.0,60.57221,635.15686,0.0,0.003942129,0.0,0.0,Dec,3,10,9,6,Returning_Visitor,False,False
7.0,1392.6865,0.0,2549.375,702.2847,1251.5101,0.0,0.03333333,23.018091,0.0,Dec,3,9,1,3,Other,True,False
3.0,0.0,0.0,0.0,153.86855,482.19916,0.0,0.0014474882,0.0,0.0,Sep,1,2,1,1,Returning_Visitor,False,False
5.0,3398.75,0.0,2549.375,204.40312,6657.197,0.0,0.0,0.0,0.0,Sep,3,10,9,6,Other,False,False
7.0,3350.2437,0.0,0.0,36.0,3795.6658,0.0,0.0076813237,4.4635777,0.0,Nov,2,9,7,1,Other,False,False
17.385332,3366.5112,0.0,0.0,5.0,110.57626,0.0,0.035766814,0.0,0.0,Jul,5,2,9,2,Returning_Visitor,False,False
0.0,3398.75,3.0,1199.9968,268.19528,3708.1248,0.0,0.2,0.0,0.0,May,3,2,6,10,Returning_Visitor,False,False
7.0,1730.597,0.0,0.0,242.60115,2088.1055,0.0,0.021567699,361.7546,0.0,Oct,1,10,7,10,New_Visitor,False,False
26.756824,609.4379,2.0,2542.0574,14.0,3003.6152,0.031310163,0.2,0.0,0.0,Jul,3,2,8,1,Returning_Visitor,False,False
14.852952,0.0,0.0,0.0,1.0,0.0,0.0,0.076170415,0.0,0.0,Oct,1,3,1,13,Returning_Visitor,False,False
3.0,303.29117,0.0,0.0,94.26972,2325.7021,0.0,0.0032115763,0.0,0.0,Jul,7,4,1,1,Other,True,False
13.0,116.781166,0.0,2528.6458,37.38693,20417.71,0.0,0.2,0.0,0.0,May,1,2,8,12,Other,True,False
15.03843,127.452774,23.885122,2549.295,3.0,3312.684,0.0,0.0,48.13521,0.0,Sep,2,10,9,1,Other,True,False
3.0,406.9898,0.0,0.0,700.2793,6188.289,0.0,0.00046681712,0.0,0.0,Sep,1,2,1,12,Returning_Visitor,False,False
14.058353,307.36096,0.0,0.0,12.0,1979.0275,0.0025726005,0.037586927,0.0,0.0,Mar,1,2,9,1,Other,True,False
6.0,506.16934,23.998016,1088.4814,311.37473,1272.1637,0.0,0.005214537,0.0,0.0,Sep,1,10,1,10,Returning_Visitor,True,False
0.0,870.3896,22.862474,1221.0825,28.0,0.0,0.0,0.00613499,37.59149,0.0,Feb,2,8,1,3,Other,True,False
9.0,958.2531,0.0,0.0,1.0,5405.5947,0.0,0.0,0.0,0.0,Nov,2,1,8,10,Returning_Visitor,True,False
6.0,75.84884,1.0,0.0,8.0,6905.232,0.0,0.0,0.0,0.0,Nov,6,2,5,2,Returning_Visitor,True,False
12.927562,0.0,23.820173,0.0,149.47314,1746.8539,0.2,0.0,0.0,0.0,Nov,1,1,9,2,Other,False,False
0.0,25.786001,0.0,0.0,131.74178,4084.023,0.0,0.022573452,178.99799,0.0,Dec,1,2,7,13,Returning_Visitor,False,False
0.0,0.0,22.585014,2549.375,91.66226,2479.0056,0.0,0.0,0.0,0.0,Jul,6,2,2,7,Returning_Visitor,True,False
7.0,3026.5383,0.0,0.0,30.0,3716.9143,0.0,0.0,0.0,0.0,Dec,4,5,4,11,Returning_Visitor,False,False
4.0,3154.577,0.0,2543.1902,704.58356,493.4721,0.0,0.05,361.76373,0.0,Nov,1,10,9,2,Returning_Visitor,False,False
8.0,0.0,0.0,2538.0083,329.35895,551.9882,0.008734368,0.028571429,0.0,0.0,June,6,1,1,20,Other,True,False
5.0,558.4628,0.0,2549.375,40.01434,1192.0808,0.0,0.2,0.0,0.0,May,1,5,1,10,Returning_Visitor,True,False
4.0,1081.389,22.586773,2549.375,13.0,227.33864,0.0,0.01693485,21.644388,0.0,Nov,1,2,9,12,Other,False,False
10.0,1166.6322,23.918285,0.0,0.26339424,4063.8687,0.0,0.007177608,42.944107,0.0,Nov,2,2,8,2,Other,False,False
18.350233,1326.905,23.126831,2549.375,130.03828,47617.13,0.0,0.0010680956,144.13283,0.0,Mar,2,7,8,11,Returning_Visitor,False,False
1.0,1316.3595,10.681261,2548.372,13.0,2397.9546,0.2,0.025,0.0,0.0,May,3,9,1,2,Returning_Visitor,False,False
10.585826,532.8021,19.427912,806.4376,139.12079,9241.595,0.0,0.008333333,0.0,0.0,Oct,1,10,9,10,New_Visitor,False,False
16.971416,0.0,3.0,0.0,169.99744,2816.8823,0.0,0.0051227454,33.754654,0.0,Nov,2,1,1,1,Returning_Visitor,False,False
6.0,117.235405,0.0,2543.0034,1.0,851.096,0.006046405,0.01469441,0.0,0.0,Oct,1,10,1,1,New_Visitor,True,False
15.597838,3033.5112,23.783432,123.11622,21.0,8113.681,0.0,0.0,0.0,0.0,Dec,7,4,1,1,Other,True,False
